Technique,Pixels,Qubits,Gates,Depth,EncodingTime(us),PSNR,SSIM,GateFidelity,InformationLoss
2D-QSNA,10.0,4.0,10.0,5.0,1.49,23.754,0.374,0.907,0.626
AQIR-ADS,10.0,3.0,7.5,3.5,1.92,40.345,0.905,0.934,0.095
EFRQI,10.0,4.0,15.0,7.5,2.416,20.693,0.25,0.864,0.75
FRQI,10.0,4.0,20.0,10.0,5.012,19.774,0.207,0.824,0.793
GQIR,10.0,9.0,60.0,17.5,1.552,16.841,0.141,0.72,0.859
IQIR,10.0,7.0,40.0,15.0,1.649,17.708,0.151,0.753,0.849
MCQI,10.0,15.0,120.0,30.0,1.308,16.075,0.123,0.585,0.877
NASS,10.0,5.0,25.0,10.0,1.526,19.338,0.194,0.824,0.806
NEQR,10.0,11.0,80.0,20.0,1.523,16.277,0.121,0.69,0.879
QRMW,10.0,13.0,100.0,20.0,1.301,16.063,0.118,0.69,0.882
QUALPI,10.0,8.0,40.0,16.5,1.761,17.705,0.147,0.735,0.853
