Variant,Dataset,Resolution,PSNR,SSIM,GateFidelity,InformationLoss
AQIR-ADS,braintumor,2x2,45.7,0.992,0.98,0.008
AQIR-NoGrad,braintumor,2x2,51.141,0.998,0.98,0.002
AQIR-FixedRot,braintumor,2x2,8.544,0.192,0.98,0.808
AQIR-Deep,braintumor,2x2,41.364,0.971,0.98,0.029
AQIR-ADS,braintumor,4x4,33.191,0.947,0.887,0.053
AQIR-NoGrad,braintumor,4x4,29.935,0.887,0.887,0.113
AQIR-FixedRot,braintumor,4x4,8.651,0.131,0.887,0.869
AQIR-Deep,braintumor,4x4,24.92,0.784,0.887,0.216
AQIR-ADS,braintumor,2x2,45.7,0.997,0.98,0.003
AQIR-NoGrad,braintumor,2x2,46.37,0.988,0.98,0.012
AQIR-FixedRot,braintumor,2x2,8.453,0.334,0.98,0.666
AQIR-Deep,braintumor,2x2,47.162,0.993,0.98,0.007
AQIR-ADS,braintumor,4x4,29.985,0.971,0.887,0.029
AQIR-NoGrad,braintumor,4x4,29.398,0.965,0.887,0.035
AQIR-FixedRot,braintumor,4x4,8.28,0.072,0.887,0.928
AQIR-Deep,braintumor,4x4,25.246,0.917,0.887,0.083
AQIR-ADS,braintumor,2x2,47.162,0.992,0.98,0.008
AQIR-NoGrad,braintumor,2x2,44.609,0.979,0.98,0.021
AQIR-FixedRot,braintumor,2x2,8.523,0.361,0.98,0.639
AQIR-Deep,braintumor,2x2,40.929,0.975,0.98,0.025
AQIR-ADS,braintumor,4x4,27.997,0.937,0.887,0.063
AQIR-NoGrad,braintumor,4x4,30.981,0.964,0.887,0.036
AQIR-FixedRot,braintumor,4x4,8.235,0.128,0.887,0.872
AQIR-Deep,braintumor,4x4,23.956,0.859,0.887,0.141
AQIR-ADS,braintumor,2x2,46.37,0.982,0.98,0.018
AQIR-NoGrad,braintumor,2x2,43.36,0.964,0.98,0.036
AQIR-FixedRot,braintumor,2x2,8.686,0.401,0.98,0.599
AQIR-Deep,braintumor,2x2,42.69,0.957,0.98,0.043
AQIR-ADS,braintumor,4x4,29.539,0.924,0.887,0.076
AQIR-NoGrad,braintumor,4x4,31.163,0.934,0.887,0.066
AQIR-FixedRot,braintumor,4x4,8.494,0.106,0.887,0.894
AQIR-Deep,braintumor,4x4,24.097,0.71,0.887,0.29
AQIR-ADS,braintumor,2x2,49.38,0.992,0.98,0.008
AQIR-NoGrad,braintumor,2x2,41.141,0.946,0.98,0.054
AQIR-FixedRot,braintumor,2x2,8.591,0.348,0.98,0.652
AQIR-Deep,braintumor,2x2,40.727,0.928,0.98,0.072
AQIR-ADS,braintumor,4x4,27.278,0.913,0.887,0.087
AQIR-NoGrad,braintumor,4x4,28.872,0.925,0.887,0.075
AQIR-FixedRot,braintumor,4x4,8.193,0.066,0.887,0.934
AQIR-Deep,braintumor,4x4,24.551,0.832,0.887,0.168
AQIR-ADS,braintumor,2x2,45.7,0.983,0.98,0.017
AQIR-NoGrad,braintumor,2x2,48.131,0.99,0.98,0.01
AQIR-FixedRot,braintumor,2x2,8.502,0.382,0.98,0.618
AQIR-Deep,braintumor,2x2,39.838,0.943,0.98,0.057
AQIR-ADS,braintumor,4x4,31.666,0.957,0.887,0.043
AQIR-NoGrad,braintumor,4x4,31.002,0.942,0.887,0.058
AQIR-FixedRot,braintumor,4x4,8.273,-0.03,0.887,1.03
AQIR-Deep,braintumor,4x4,25.329,0.818,0.887,0.182
AQIR-ADS,braintumor,2x2,43.012,0.979,0.98,0.021
AQIR-NoGrad,braintumor,2x2,44.609,0.991,0.98,0.009
AQIR-FixedRot,braintumor,2x2,8.596,0.437,0.98,0.563
AQIR-Deep,braintumor,2x2,40.349,0.947,0.98,0.053
AQIR-ADS,braintumor,4x4,26.323,0.857,0.887,0.143
AQIR-NoGrad,braintumor,4x4,32.319,0.956,0.887,0.044
AQIR-FixedRot,braintumor,4x4,8.627,0.11,0.887,0.89
AQIR-Deep,braintumor,4x4,25.235,0.852,0.887,0.148
AQIR-ADS,braintumor,2x2,44.609,0.979,0.98,0.021
AQIR-NoGrad,braintumor,2x2,42.69,0.958,0.98,0.042
AQIR-FixedRot,braintumor,2x2,9.18,0.383,0.98,0.617
AQIR-Deep,braintumor,2x2,48.131,0.989,0.98,0.011
AQIR-ADS,braintumor,4x4,32.07,0.968,0.887,0.032
AQIR-NoGrad,braintumor,4x4,30.717,0.948,0.887,0.052
AQIR-FixedRot,braintumor,4x4,8.798,-0.032,0.887,1.032
AQIR-Deep,braintumor,4x4,24.155,0.83,0.887,0.17
AQIR-ADS,braintumor,2x2,48.131,0.991,0.98,0.009
AQIR-NoGrad,braintumor,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,braintumor,2x2,9.307,0.456,0.98,0.544
AQIR-Deep,braintumor,2x2,38.711,0.961,0.98,0.039
AQIR-ADS,braintumor,4x4,31.641,0.967,0.887,0.033
AQIR-NoGrad,braintumor,4x4,32.063,0.964,0.887,0.036
AQIR-FixedRot,braintumor,4x4,9.234,0.072,0.887,0.928
AQIR-Deep,braintumor,4x4,25.123,0.857,0.887,0.143
AQIR-ADS,braintumor,2x2,45.7,0.986,0.98,0.014
AQIR-NoGrad,braintumor,2x2,46.37,0.985,0.98,0.015
AQIR-FixedRot,braintumor,2x2,9.261,0.488,0.98,0.512
AQIR-Deep,braintumor,2x2,46.37,0.994,0.98,0.006
AQIR-ADS,braintumor,4x4,28.238,0.935,0.887,0.065
AQIR-NoGrad,braintumor,4x4,29.431,0.937,0.887,0.063
AQIR-FixedRot,braintumor,4x4,9.27,0.147,0.887,0.853
AQIR-Deep,braintumor,4x4,25.508,0.882,0.887,0.118
AQIR-ADS,braintumor,2x2,46.37,0.993,0.98,0.007
AQIR-NoGrad,braintumor,2x2,44.151,0.982,0.98,0.018
AQIR-FixedRot,braintumor,2x2,9.183,0.417,0.98,0.583
AQIR-Deep,braintumor,2x2,41.364,0.95,0.98,0.05
AQIR-ADS,braintumor,4x4,31.06,0.955,0.887,0.045
AQIR-NoGrad,braintumor,4x4,32.486,0.962,0.887,0.038
AQIR-FixedRot,braintumor,4x4,8.97,0.1,0.887,0.9
AQIR-Deep,braintumor,4x4,24.379,0.84,0.887,0.16
AQIR-ADS,braintumor,2x2,49.38,0.991,0.98,0.009
AQIR-NoGrad,braintumor,2x2,47.162,0.991,0.98,0.009
AQIR-FixedRot,braintumor,2x2,9.362,0.522,0.98,0.478
AQIR-Deep,braintumor,2x2,41.599,0.992,0.98,0.008
AQIR-ADS,braintumor,4x4,31.201,0.964,0.887,0.036
AQIR-NoGrad,braintumor,4x4,32.369,0.963,0.887,0.037
AQIR-FixedRot,braintumor,4x4,8.938,0.074,0.887,0.926
AQIR-Deep,braintumor,4x4,29.641,0.946,0.887,0.054
AQIR-ADS,braintumor,2x2,46.37,0.996,0.98,0.004
AQIR-NoGrad,braintumor,2x2,47.162,0.996,0.98,0.004
AQIR-FixedRot,braintumor,2x2,8.388,0.164,0.98,0.836
AQIR-Deep,braintumor,2x2,41.141,0.983,0.98,0.017
AQIR-ADS,braintumor,4x4,31.002,0.968,0.887,0.032
AQIR-NoGrad,braintumor,4x4,30.883,0.96,0.887,0.04
AQIR-FixedRot,braintumor,4x4,8.042,0.039,0.887,0.961
AQIR-Deep,braintumor,4x4,24.8,0.881,0.887,0.119
AQIR-ADS,braintumor,2x2,47.162,0.997,0.98,0.003
AQIR-NoGrad,braintumor,2x2,40.929,0.977,0.98,0.023
AQIR-FixedRot,braintumor,2x2,8.437,0.156,0.98,0.844
AQIR-Deep,braintumor,2x2,51.141,0.998,0.98,0.002
AQIR-ADS,braintumor,4x4,30.168,0.964,0.887,0.036
AQIR-NoGrad,braintumor,4x4,31.087,0.959,0.887,0.041
AQIR-FixedRot,braintumor,4x4,8.318,0.108,0.887,0.892
AQIR-Deep,braintumor,4x4,22.399,0.833,0.887,0.167
AQIR-ADS,braintumor,2x2,51.141,0.999,0.98,0.001
AQIR-NoGrad,braintumor,2x2,42.69,0.994,0.98,0.006
AQIR-FixedRot,braintumor,2x2,8.851,0.192,0.98,0.808
AQIR-Deep,braintumor,2x2,40.534,0.995,0.98,0.005
AQIR-ADS,braintumor,4x4,29.252,0.965,0.887,0.035
AQIR-NoGrad,braintumor,4x4,30.331,0.965,0.887,0.035
AQIR-FixedRot,braintumor,4x4,8.416,-0.006,0.887,1.006
AQIR-Deep,braintumor,4x4,23.407,0.873,0.887,0.127
AQIR-ADS,braintumor,2x2,44.609,0.997,0.98,0.003
AQIR-NoGrad,braintumor,2x2,46.37,0.998,0.98,0.002
AQIR-FixedRot,braintumor,2x2,9.096,0.251,0.98,0.749
AQIR-Deep,braintumor,2x2,38.354,0.967,0.98,0.033
AQIR-ADS,braintumor,4x4,30.683,0.97,0.887,0.03
AQIR-NoGrad,braintumor,4x4,30.172,0.96,0.887,0.04
AQIR-FixedRot,braintumor,4x4,8.466,-0.008,0.887,1.008
